Time_ms,Note_Number,Track,Action
96,35,0,spawn
481,35,0,spawn
846,38,0,spawn
2381,38,0,spawn
3090,35,0,spawn
3475,35,0,spawn
3881,38,0,spawn
5368,38,0,spawn
6097,35,0,spawn
6551,35,0,spawn
6896,38,0,spawn
8382,38,0,spawn
9146,35,0,spawn
9529,35,0,spawn
9876,38,0,spawn
11433,38,0,spawn
12118,35,0,spawn
12500,35,0,spawn
12896,38,0,spawn
14402,38,0,spawn
15154,35,0,spawn
15516,35,0,spawn
15898,38,0,spawn
17398,38,0,spawn
18143,35,0,spawn
18548,35,0,spawn
18921,38,0,spawn
20359,38,0,spawn
21144,35,0,spawn
21536,35,0,spawn
21906,38,0,spawn
23399,38,0,spawn
24120,35,0,spawn
24583,35,0,spawn
24887,38,0,spawn
26408,38,0,spawn
27144,35,0,spawn
27515,35,0,spawn
27891,38,0,spawn
29379,38,0,spawn
30120,35,0,spawn
30510,35,0,spawn
30878,38,0,spawn
32361,38,0,spawn
33132,35,0,spawn
33500,35,0,spawn
33876,38,0,spawn
35390,38,0,spawn
36118,35,0,spawn
36520,35,0,spawn
36864,38,0,spawn
38376,38,0,spawn
39158,35,0,spawn
39482,35,0,spawn
39896,38,0,spawn
41377,38,0,spawn
42103,35,0,spawn
42526,35,0,spawn
42933,38,0,spawn
44363,38,0,spawn
44740,35,0,spawn
45129,35,0,spawn
45473,35,0,spawn
45929,38,0,spawn
47377,38,0,spawn
47746,35,0,spawn
48094,35,0,spawn
48452,35,0,spawn
48878,38,0,spawn
50365,38,0,spawn
50771,35,0,spawn
51123,35,0,spawn
51469,35,0,spawn
51900,38,0,spawn
53367,38,0,spawn
53742,35,0,spawn
54205,35,0,spawn
54485,35,0,spawn
54845,38,0,spawn
56388,38,0,spawn
56712,35,0,spawn
57098,35,0,spawn
57500,35,0,spawn
57860,38,0,spawn
59358,38,0,spawn
59726,35,0,spawn
