Time_ms,Note_Number,Track,Action
28,35,0,spawn
1244,35,0,spawn
1643,38,0,spawn
2461,35,0,spawn
3666,35,0,spawn
4893,35,0,spawn
6092,35,0,spawn
6519,38,0,spawn
7314,35,0,spawn
8530,35,0,spawn
8932,38,0,spawn
9740,35,0,spawn
10968,35,0,spawn
11373,38,0,spawn
12190,35,0,spawn
13394,35,0,spawn
13797,38,0,spawn
14617,35,0,spawn
15827,35,0,spawn
16237,38,0,spawn
17043,35,0,spawn
18259,35,0,spawn
18676,38,0,spawn
19476,35,0,spawn
20698,35,0,spawn
21102,38,0,spawn
21908,35,0,spawn
23124,35,0,spawn
24347,38,0,spawn
25552,35,0,spawn
25978,35,0,spawn
26779,38,0,spawn
28002,35,0,spawn
29211,35,0,spawn
30422,38,0,spawn
30832,35,0,spawn
31644,35,0,spawn
32860,38,0,spawn
34082,35,0,spawn
35293,35,0,spawn
35697,38,0,spawn
36515,35,0,spawn
37725,35,0,spawn
38941,38,0,spawn
40157,35,0,spawn
40569,35,0,spawn
41379,38,0,spawn
42590,35,0,spawn
43812,35,0,spawn
45016,38,0,spawn
45441,35,0,spawn
46245,35,0,spawn
47460,38,0,spawn
48676,35,0,spawn
49893,35,0,spawn
50306,38,0,spawn
51110,35,0,spawn
52320,35,0,spawn
53536,38,0,spawn
54746,35,0,spawn
55167,35,0,spawn
55962,38,0,spawn
57190,35,0,spawn
58401,35,0,spawn
59617,38,0,spawn
60022,35,0,spawn
60827,35,0,spawn
62044,38,0,spawn
62458,35,0,spawn
63265,35,0,spawn
64482,38,0,spawn
64906,35,0,spawn
65704,35,0,spawn
66914,38,0,spawn
67310,35,0,spawn
68137,35,0,spawn
69341,38,0,spawn
69767,35,0,spawn
70563,35,0,spawn
71785,38,0,spawn
73001,35,0,spawn
74211,35,0,spawn
74609,38,0,spawn
75434,35,0,spawn
76633,35,0,spawn
77860,38,0,spawn
79070,35,0,spawn
79500,35,0,spawn
80298,38,0,spawn
81509,35,0,spawn
81905,35,0,spawn
82730,38,0,spawn
83941,35,0,spawn
84360,35,0,spawn
85163,38,0,spawn
86374,35,0,spawn
416,35,1,spawn
620,38,1,spawn
1019,38,1,spawn
1218,35,1,spawn
1654,35,1,spawn
1851,38,1,spawn
2266,38,1,spawn
2443,35,1,spawn
2849,35,1,spawn
3026,38,1,spawn
3462,38,1,spawn
3666,35,1,spawn
4067,35,1,spawn
4284,38,1,spawn
4502,38,1,spawn
5292,35,1,spawn
5464,35,1,spawn
5928,38,1,spawn
6097,38,1,spawn
6519,35,1,spawn
6716,35,1,spawn
7148,38,1,spawn
7326,38,1,spawn
7731,35,1,spawn
7965,35,1,spawn
8356,38,1,spawn
8542,38,1,spawn
8932,35,1,spawn
9151,35,1,spawn
9362,38,1,spawn
10163,38,1,spawn
10360,35,1,spawn
10803,35,1,spawn
10974,38,1,spawn
11373,38,1,spawn
11602,35,1,spawn
12000,35,1,spawn
12191,38,1,spawn
12602,38,1,spawn
12837,35,1,spawn
13235,35,1,spawn
13412,38,1,spawn
13797,38,1,spawn
14023,35,1,spawn
14236,35,1,spawn
15022,38,1,spawn
15251,38,1,spawn
15661,35,1,spawn
15840,35,1,spawn
16252,38,1,spawn
16460,38,1,spawn
16878,35,1,spawn
17049,35,1,spawn
17449,38,1,spawn
17695,38,1,spawn
18086,35,1,spawn
18272,35,1,spawn
18676,38,1,spawn
18894,38,1,spawn
19104,35,1,spawn
19887,35,1,spawn
20138,38,1,spawn
20510,38,1,spawn
20698,35,1,spawn
21096,35,1,spawn
21305,38,1,spawn
21763,38,1,spawn
21920,35,1,spawn
22319,35,1,spawn
22564,38,1,spawn
22955,38,1,spawn
23124,35,1,spawn
23526,35,1,spawn
23743,38,1,spawn
23983,38,1,spawn
24757,35,1,spawn
24981,35,1,spawn
25375,38,1,spawn
25569,38,1,spawn
25978,35,1,spawn
26214,35,1,spawn
26647,38,1,spawn
26785,38,1,spawn
27222,35,1,spawn
27418,35,1,spawn
27820,38,1,spawn
28000,38,1,spawn
28406,35,1,spawn
28614,35,1,spawn
28840,38,1,spawn
49076,38,1,spawn
49321,35,1,spawn
49708,35,1,spawn
49881,38,1,spawn
50287,38,1,spawn
50484,35,1,spawn
50940,35,1,spawn
51109,38,1,spawn
51502,38,1,spawn
51755,35,1,spawn
52145,35,1,spawn
52320,38,1,spawn
52716,38,1,spawn
52932,35,1,spawn
53137,35,1,spawn
53935,38,1,spawn
54154,38,1,spawn
54573,35,1,spawn
54741,35,1,spawn
55149,38,1,spawn
55379,38,1,spawn
55810,35,1,spawn
55968,35,1,spawn
56385,38,1,spawn
56575,38,1,spawn
56997,35,1,spawn
57178,35,1,spawn
57578,38,1,spawn
57808,38,1,spawn
58033,35,1,spawn
58800,35,1,spawn
59032,38,1,spawn
59429,38,1,spawn
59617,35,1,spawn
60022,35,1,spawn
60267,38,1,spawn
60665,38,1,spawn
60833,35,1,spawn
61244,35,1,spawn
61483,38,1,spawn
61874,38,1,spawn
62043,35,1,spawn
62445,35,1,spawn
62665,38,1,spawn
62880,38,1,spawn
63683,35,1,spawn
63911,35,1,spawn
64294,38,1,spawn
64482,38,1,spawn
64887,35,1,spawn
65133,35,1,spawn
65531,38,1,spawn
65686,38,1,spawn
66092,35,1,spawn
66337,35,1,spawn
66735,38,1,spawn
66903,38,1,spawn
67310,35,1,spawn
67534,35,1,spawn
67745,38,1,spawn
68541,38,1,spawn
68717,35,1,spawn
69168,35,1,spawn
69353,38,1,spawn
69751,38,1,spawn
69966,35,1,spawn
70389,35,1,spawn
70569,38,1,spawn
70958,38,1,spawn
71151,35,1,spawn
71608,35,1,spawn
71791,38,1,spawn
72175,38,1,spawn
72401,35,1,spawn
72624,35,1,spawn
73406,38,1,spawn
73645,38,1,spawn
74020,35,1,spawn
74200,35,1,spawn
74641,38,1,spawn
74863,38,1,spawn
75264,35,1,spawn
75439,35,1,spawn
75839,38,1,spawn
76052,38,1,spawn
76469,35,1,spawn
76656,35,1,spawn
77040,38,1,spawn
77257,38,1,spawn
77498,35,1,spawn
78265,35,1,spawn
78500,38,1,spawn
78897,38,1,spawn
79070,35,1,spawn
79474,35,1,spawn
79725,38,1,spawn
80125,38,1,spawn
80287,35,1,spawn
80710,35,1,spawn
80943,38,1,spawn
81325,38,1,spawn
81515,35,1,spawn
81905,35,1,spawn
82122,38,1,spawn
82353,38,1,spawn
83136,35,1,spawn
83343,35,1,spawn
83762,38,1,spawn
83947,38,1,spawn
84360,35,1,spawn
84587,35,1,spawn
84986,38,1,spawn
85152,38,1,spawn
85575,35,1,spawn
85811,35,1,spawn
86180,38,1,spawn
86374,38,1,spawn
86784,35,1,spawn
87000,35,1,spawn
87195,38,1,spawn
